Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-10-27,27-227,GSW,,NOP,W (+16),1,35:37,14,26,.538,5,12,.417,7,7,1.000,3,3,6,7,2,0,2,1,40,34.9,+12
2,2,2015-10-30,27-230,GSW,@,HOU,W (+20),1,27:24,9,15,.600,4,9,.444,3,4,.750,0,7,7,6,1,0,1,4,25,22.4,+12
3,3,2015-10-31,27-231,GSW,@,NOP,W (+14),1,35:38,17,27,.630,8,14,.571,11,11,1.000,0,4,4,9,4,0,2,3,53,49.2,+16
4,4,2015-11-02,27-233,GSW,,MEM,W (+50),1,28:24,10,16,.625,4,8,.500,6,6,1.000,1,2,3,3,3,1,3,2,30,26.1,+37
5,5,2015-11-04,27-235,GSW,,LAC,W (+4),1,32:38,8,17,.471,7,11,.636,8,9,.889,0,5,5,4,1,0,0,3,31,26.0,+7
6,6,2015-11-06,27-237,GSW,,DEN,W (+15),1,34:39,12,22,.545,8,16,.500,2,3,.667,0,7,7,10,3,1,4,1,34,31.4,+14
7,7,2015-11-07,27-238,GSW,@,SAC,W (+9),1,39:08,8,18,.444,2,10,.200,6,7,.857,1,5,6,3,2,0,6,1,24,14.1,+6
8,8,2015-11-09,27-240,GSW,,DET,W (+14),1,36:50,7,18,.389,3,7,.429,5,6,.833,1,4,5,5,3,0,5,1,22,14.8,+12
9,9,2015-11-11,27-242,GSW,@,MEM,W (+16),1,34:30,9,21,.429,3,10,.300,7,7,1.000,0,5,5,5,5,1,4,1,28,23.2,+16
10,10,2015-11-12,27-243,GSW,@,MIN,W (+13),1,37:42,15,25,.600,8,13,.615,8,8,1.000,0,5,5,4,2,0,3,3,46,36.6,+21
11,11,2015-11-14,27-245,GSW,,BRK,W (+8),1,43:44,13,31,.419,5,16,.313,3,3,1.000,0,3,3,6,1,0,4,1,34,19.2,+3
12,12,2015-11-17,27-248,GSW,,TOR,W (+5),1,39:35,13,23,.565,5,10,.500,6,7,.857,0,2,2,9,2,0,7,1,37,27.2,+11
13,13,2015-11-19,27-250,GSW,@,LAC,W (+7),1,36:46,11,22,.500,6,14,.429,12,12,1.000,0,11,11,4,3,0,7,2,40,30.3,+12
14,14,2015-11-20,27-251,GSW,,CHI,W (+12),1,36:05,9,20,.450,3,11,.273,6,6,1.000,1,4,5,4,4,0,6,2,27,18.5,+11
15,15,2015-11-22,27-253,GSW,@,DEN,W (+13),1,27:37,8,16,.500,3,8,.375,0,0,,0,4,4,7,3,0,4,0,19,16.1,+11
16,16,2015-11-24,27-255,GSW,,LAL,W (+34),1,30:10,10,21,.476,4,12,.333,0,0,,0,4,4,9,2,0,0,1,24,22.4,+36
17,17,2015-11-27,27-258,GSW,@,PHO,W (+19),1,30:39,11,20,.550,9,16,.563,10,11,.909,1,5,6,8,2,0,6,2,41,34.0,+27
18,18,2015-11-28,27-259,GSW,,SAC,W (+19),1,29:48,4,7,.571,3,6,.500,8,8,1.000,0,4,4,6,3,0,1,1,19,22.7,+19
19,19,2015-11-30,27-261,GSW,@,UTA,W (+3),1,37:16,9,20,.450,4,8,.500,4,4,1.000,2,4,6,5,2,0,2,2,26,20.9,+12
20,20,2015-12-02,27-263,GSW,@,CHO,W (+17),1,30:49,14,18,.778,8,11,.727,4,4,1.000,0,3,3,5,0,0,5,2,40,31.6,+19
21,21,2015-12-05,27-266,GSW,@,TOR,W (+3),1,37:51,14,24,.583,9,15,.600,7,9,.778,1,1,2,7,0,0,3,4,44,33.3,+15
22,22,2015-12-06,27-267,GSW,@,BRK,W (+16),1,32:14,11,17,.647,5,9,.556,1,4,.250,0,5,5,2,1,0,4,2,28,18.4,+10
23,23,2015-12-08,27-269,GSW,@,IND,W (+8),1,35:39,11,23,.478,3,10,.300,4,6,.667,0,7,7,10,3,0,4,1,29,24.2,+18
24,24,2015-12-11,27-272,GSW,@,BOS,W (+5),1,46:55,9,27,.333,6,13,.462,14,14,1.000,3,8,11,8,2,0,8,4,38,25.2,+15
25,25,2015-12-12,27-273,GSW,@,MIL,L (-13),1,35:14,10,22,.455,2,9,.222,6,7,.857,2,5,7,5,1,0,2,2,28,20.8,0
